metric,duration_s,peak_abs_z,peak_signed_z,n_frames,video_id,event_start_s,event_end_s,requires_manual_confirmation
mouth_open_proxy,0.37000000000000455,4.987765631904427,4.987765631904427,37,2025-12-23_14-26-24_Orna_1,88.4,88.77000000000001,True
mouth_open_proxy,0.29999999999999716,6.468995028360878,6.468995028360878,30,2025-12-23_14-26-24_Orna_1,111.81,112.11,True
mouth_open_proxy,0.30000000000001137,4.834341175054582,4.834341175054582,30,2025-12-23_14-26-24_Orna_1,120.38,120.68,True
mouth_open_proxy,0.3199999999999932,6.059831543513256,6.059831543513256,32,2025-12-23_14-26-24_Orna_1,124.68,125.0,True
mouth_open_proxy,0.10999999999998522,3.509585199987709,3.509585199987709,11,2025-12-23_14-26-24_Orna_1,138.1,138.20999999999998,True
mouth_open_proxy,0.10999999999998522,3.7081888607490674,3.7081888607490674,11,2025-12-23_14-26-24_Orna_1,144.44,144.54999999999998,True
mouth_asymmetry_proxy,0.10000000000000142,3.3980400808972755,3.3980400808972755,10,2025-12-23_14-26-24_Orna_1,8.62,8.72,True
mouth_asymmetry_proxy,0.09999999999999964,3.2707037939013293,-3.2707037939013293,10,2025-12-23_14-26-24_Orna_1,14.95,15.049999999999999,True
mouth_asymmetry_proxy,0.1399999999999988,3.3985084613342154,-3.3985084613342154,14,2025-12-23_14-26-24_Orna_1,15.21,15.35,True
mouth_asymmetry_proxy,0.09000000000000341,3.2293164495944366,-3.2293164495944366,9,2025-12-23_14-26-24_Orna_1,22.36,22.450000000000003,True
mouth_asymmetry_proxy,0.21999999999999176,4.2445052657747055,-4.2445052657747055,22,2025-12-23_14-26-24_Orna_1,33.45,33.669999999999995,True
mouth_asymmetry_proxy,0.20000000000000284,3.3664035193358544,3.3664035193358544,20,2025-12-23_14-26-24_Orna_1,40.41,40.61,True
mouth_asymmetry_proxy,0.0899999999999963,4.0980378530258115,4.0980378530258115,9,2025-12-23_14-26-24_Orna_1,44.64,44.73,True
mouth_asymmetry_proxy,0.1599999999999966,3.216059539010891,-3.216059539010891,16,2025-12-23_14-26-24_Orna_1,67.76,67.92,True
mouth_asymmetry_proxy,0.21000000000000796,4.899081768231606,-4.899081768231606,21,2025-12-23_14-26-24_Orna_1,74.67,74.88000000000001,True
mouth_asymmetry_proxy,0.20999999999999375,4.30329338304083,-4.30329338304083,21,2025-12-23_14-26-24_Orna_1,83.54,83.75,True
mouth_asymmetry_proxy,0.6400000000000006,3.7953073519627036,-3.7953073519627036,64,2025-12-23_14-26-24_Orna_1,88.37,89.01,True
mouth_asymmetry_proxy,0.09999999999999432,3.7517939731219245,3.7517939731219245,10,2025-12-23_14-26-24_Orna_1,100.51,100.61,True
mouth_asymmetry_proxy,0.09000000000000341,3.0216770266198894,3.0216770266198894,9,2025-12-23_14-26-24_Orna_1,101.94,102.03,True
mouth_asymmetry_proxy,0.18000000000000682,3.5250092457528006,3.5250092457528006,18,2025-12-23_14-26-24_Orna_1,108.74,108.92,True
mouth_asymmetry_proxy,0.09000000000000341,4.779303532750679,-4.779303532750679,9,2025-12-23_14-26-24_Orna_1,111.81,111.9,True
mouth_asymmetry_proxy,0.0800000000000125,3.4714633358214058,3.4714633358214058,8,2025-12-23_14-26-24_Orna_1,112.27,112.35000000000001,True
mouth_asymmetry_proxy,0.27000000000001023,5.59334623938625,-5.59334623938625,27,2025-12-23_14-26-24_Orna_1,120.39,120.66000000000001,True
mouth_asymmetry_proxy,0.28000000000001535,3.870071459690153,-3.870071459690153,28,2025-12-23_14-26-24_Orna_1,124.85,125.13000000000001,True
mouth_asymmetry_proxy,0.09000000000000341,3.426527382612352,3.426527382612352,9,2025-12-23_14-26-24_Orna_1,126.36,126.45,True
head_yaw_proxy,0.08000000000000007,4.030037490744367,-4.030037490744367,8,2025-12-23_14-26-24_Orna_1,10.68,10.76,True
head_yaw_proxy,0.08000000000000007,5.364913026638102,5.364913026638102,8,2025-12-23_14-26-24_Orna_1,14.82,14.9,True
head_yaw_proxy,0.08999999999999808,3.550771170103188,-3.550771170103188,9,2025-12-23_14-26-24_Orna_1,14.96,15.049999999999999,True
head_yaw_proxy,0.13999999999999702,4.393575901088782,-4.393575901088782,14,2025-12-23_14-26-24_Orna_1,24.94,25.08,True
head_yaw_proxy,0.21999999999999886,3.825047787204275,3.825047787204275,22,2025-12-23_14-26-24_Orna_1,33.97,34.19,True
head_yaw_proxy,0.3499999999999943,4.063313109646913,-4.063313109646913,35,2025-12-23_14-26-24_Orna_1,58.85,59.199999999999996,True
head_yaw_proxy,0.09000000000000341,3.1030107191836622,-3.1030107191836622,9,2025-12-23_14-26-24_Orna_1,75.24,75.33,True
head_yaw_proxy,0.10999999999999943,3.8245641845509044,-3.8245641845509044,11,2025-12-23_14-26-24_Orna_1,83.42,83.53,True
head_yaw_proxy,0.12999999999999545,3.420782546649344,-3.420782546649344,12,2025-12-23_14-26-24_Orna_1,88.34,88.47,True
head_yaw_proxy,0.22000000000001307,3.267090669478376,-3.267090669478376,19,2025-12-23_14-26-24_Orna_1,120.38,120.60000000000001,True
head_yaw_proxy,0.3100000000000023,4.2610404206405,-4.2610404206405,31,2025-12-23_14-26-24_Orna_1,131.48,131.79,True
au06_cheek_raise_proxy,0.09999999999999964,3.0935398360446884,-3.0935398360446884,10,2025-12-23_14-33-37_Roy_1,7.17,7.27,True
au06_cheek_raise_proxy,0.08999999999999986,4.395780270698153,4.395780270698153,9,2025-12-23_14-33-37_Roy_1,16.95,17.04,True
au06_cheek_raise_proxy,0.11999999999999744,3.5165189684202205,-3.5165189684202205,12,2025-12-23_14-33-37_Roy_1,33.15,33.269999999999996,True
au06_cheek_raise_proxy,0.14000000000001478,4.1314224138448665,-4.1314224138448665,14,2025-12-23_14-33-37_Roy_1,73.13,73.27000000000001,True
au06_cheek_raise_proxy,0.14000000000001478,3.6975749792635293,3.6975749792635293,14,2025-12-23_14-33-37_Roy_1,83.8,83.94000000000001,True
