video_id,trial_id,window,window_start_rel_s,window_end_rel_s,deepface_sampled_frames,deepface_success_rate,deepface_dominant_emotion_mode,deepface_angry_mean,deepface_angry_max,deepface_disgust_mean,deepface_disgust_max,deepface_fear_mean,deepface_fear_max,deepface_happy_mean,deepface_happy_max,deepface_sad_mean,deepface_sad_max,deepface_surprise_mean,deepface_surprise_max,deepface_neutral_mean,deepface_neutral_max
P2H42009,1,short_500_2000ms,0.5,2.0,1,1.0,neutral,0.2432517409324646,0.2432517409324646,0.0004350298549979,0.0004350298549979,0.2173363268375396,0.2173363268375396,9.488150596618652,9.488150596618652,3.752665281295776,3.752665281295776,0.2148301750421524,0.2148301750421524,86.08332824707031,86.08332824707031
P2H42009,1,late_2_5s,2.0,5.0,3,1.0,neutral,1.6183919707934062,2.9305663108825684,0.11144788439075147,0.2823761701583862,13.519166350364685,34.31819534301758,1.1631994446118672,1.6074239015579224,24.952715555826824,34.70021057128906,0.13802501404037074,0.3807418644428253,58.49705378214518,76.45138549804688
P2H42009,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,2.246049165725708,2.246049165725708,0.3332745432853699,0.3332745432853699,52.68195724487305,52.68195724487305,1.9394831657409668,1.9394831657409668,20.16510009765625,20.16510009765625,1.2209264039993286,1.2209264039993286,21.413209915161133,21.413209915161133
P2H42009,2,early_0_500ms,0.0,0.5,1,1.0,happy,0.2107153832912445,0.2107153832912445,0.0031118658371269,0.0031118658371269,15.821502685546877,15.821502685546877,48.04896926879883,48.04896926879883,1.5356504917144775,1.5356504917144775,15.38744068145752,15.38744068145752,18.992610931396484,18.992610931396484
P2H42009,2,short_500_2000ms,0.5,2.0,1,1.0,fear,1.2180215120315552,1.2180215120315552,0.1068196818232536,0.1068196818232536,51.1277961730957,51.1277961730957,17.239200592041016,17.239200592041016,9.739870071411133,9.739870071411133,8.785861015319824,8.785861015319824,11.782429695129396,11.782429695129396
P2H42009,2,late_2_5s,2.0,5.0,3,1.0,fear,0.26250719527403515,0.334260493516922,0.029197398883600997,0.0679498240351677,53.6524912516276,74.25747680664062,22.639638264973957,38.05459976196289,2.713692625363668,3.449074506759644,4.694108804066976,10.166925430297852,16.008365790049236,29.12677764892578
P2L40002,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,sad,1.1275668144226074,1.1275668144226074,0.0001192833587992,0.0001192833587992,2.764182806015014,2.764182806015014,0.0100500211119651,0.0100500211119651,92.58594512939452,92.58594512939452,0.0008390155271627,0.0008390155271627,3.5112998485565186,3.5112998485565186
P2L40002,1,early_0_500ms,0.0,0.5,1,1.0,fear,17.7324275970459,17.7324275970459,1.4577878713607788,1.4577878713607788,40.237525939941406,40.237525939941406,2.82197904586792,2.82197904586792,17.68691062927246,17.68691062927246,0.660785436630249,0.660785436630249,19.4025821685791,19.4025821685791
P2L40002,1,short_500_2000ms,0.5,2.0,1,1.0,sad,2.7946434020996094,2.7946434020996094,0.5840789675712585,0.5840789675712585,7.148372173309326,7.148372173309326,0.4181154668331146,0.4181154668331146,68.48417663574219,68.48417663574219,0.4731702506542206,0.4731702506542206,20.09744644165039,20.09744644165039
P2L40002,1,late_2_5s,2.0,5.0,3,1.0,fear,5.985437100753188,16.3394832611084,0.13036885146067392,0.3685372471809387,30.889888922373455,52.10350036621094,29.053487934172153,86.03268432617188,16.885598520437874,27.20507431030273,2.3035448789596558,4.0985212326049805,14.75167449315389,29.759708404541016
P2L40002,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,0.9715182781219482,0.9715182781219482,0.0217919908463954,0.0217919908463954,53.65354537963867,53.65354537963867,4.387033462524414,4.387033462524414,35.17574691772461,35.17574691772461,0.2143886238336563,0.2143886238336563,5.575981616973877,5.575981616973877
P2L40002,2,early_0_500ms,0.0,0.5,1,1.0,fear,0.225565880537033,0.225565880537033,4.464496305445209e-05,4.464496305445209e-05,91.6119155883789,91.6119155883789,3.679884672164917,3.679884672164917,3.281568765640259,3.281568765640259,0.926047384738922,0.926047384738922,0.2749781012535095,0.2749781012535095
P2L40002,2,short_500_2000ms,0.5,2.0,1,1.0,sad,3.147700786590576,3.147700786590576,0.1294962912797927,0.1294962912797927,19.80640411376953,19.80640411376953,0.1820936799049377,0.1820936799049377,62.75624084472656,62.75624084472656,0.6914478540420532,0.6914478540420532,13.286616325378418,13.286616325378418
P2L40002,2,late_2_5s,2.0,5.0,3,1.0,fear,0.4199357738754467,1.2501587867736816,0.04290228890594508,0.1287068575620651,9.860009549806515,28.48691177368164,41.587615830120434,98.15642547607422,38.609216849009194,98.93799591064452,0.33833218928971504,0.9959346652030944,9.141995028592644,26.73786354064941
P2L42107,1,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,fear,0.0033304200042039,0.0033304200042039,5.494009067130712e-11,5.494009067130712e-11,90.58126068115234,90.58126068115234,0.8288430571556091,0.8288430571556091,0.0023829853162169,0.0023829853162169,8.584178924560547,8.584178924560547,4.2217675400024746e-06,4.2217675400024746e-06
P2L42107,1,early_0_500ms,0.0,0.5,1,1.0,fear,35.31337356567383,35.31337356567383,13.676850318908691,13.676850318908691,47.07206726074219,47.07206726074219,0.0045686461962759,0.0045686461962759,3.583170413970948,3.583170413970948,0.1677723675966262,0.1677723675966262,0.1822074204683303,0.1822074204683303
P2L42107,1,short_500_2000ms,0.5,2.0,1,1.0,sad,4.803138835995924e-06,4.803138835995924e-06,5.5593546259558035e-12,5.5593546259558035e-12,4.507238388061523,4.507238388061523,2.9735039430711647e-10,2.9735039430711647e-10,95.4926528930664,95.4926528930664,1.3107605278950274e-10,1.3107605278950274e-10,0.0001061951916199,0.0001061951916199
P2L42107,1,late_2_5s,2.0,5.0,3,1.0,angry,41.625128732062876,82.38063049316406,3.3529771280785403,7.309430122375488,20.335013483961422,47.13151168823242,33.059858316245176,99.1495361328125,0.9583071072896322,1.8965356349945068,0.44194702928264934,1.085336446762085,0.22676941007375714,0.5340948104858398
P2L42107,2,baseline_-1000_-500ms,-1.0,-0.5,1,1.0,sad,1.3594950437545776,1.3594950437545776,5.619190687866649e-06,5.619190687866649e-06,2.267927646636963,2.267927646636963,6.027787549101049e-06,6.027787549101049e-06,95.5754165649414,95.5754165649414,5.330419980964507e-07,5.330419980964507e-07,0.7971524596214294,0.7971524596214294
P2L42107,2,early_0_500ms,0.0,0.5,1,1.0,fear,0.2516689002513885,0.2516689002513885,0.0004980701487511,0.0004980701487511,92.36317443847656,92.36317443847656,9.69912775872217e-07,9.69912775872217e-07,7.299171924591064,7.299171924591064,8.93771448318148e-06,8.93771448318148e-06,0.0854738354682922,0.0854738354682922
P2L42107,2,short_500_2000ms,0.5,2.0,1,1.0,sad,0.000613106007222,0.000613106007222,1.9516031457555986e-08,1.9516031457555986e-08,23.325815200805664,23.325815200805664,7.453571271298642e-08,7.453571271298642e-08,76.67243957519531,76.67243957519531,3.213333741314273e-07,3.213333741314273e-07,0.0011390841100364,0.0011390841100364
P2L42107,2,late_2_5s,2.0,5.0,3,1.0,sad,0.39793989406219527,0.9224397540092468,0.00556030383575505,0.0142399948090314,22.960032145182293,38.603214263916016,0.0013518825168124143,0.0026401879731565,75.8361307779948,89.46701049804688,0.1840229152261191,0.5387420654296875,0.614956255381306,1.3236944675445557
