window,feature,n_pairs,sweat_mean,control_mean,mean_diff_sweat_minus_control,median_diff_sweat_minus_control,paired_effect_dz,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p
early_0_500ms,head_yaw_proxy_delta_mean,7,0.016063526346527857,-0.01066028852719377,0.026723814873721632,0.0284061826867963,0.5925946005758201,1.5678579414032734,0.16796053695006563,5.0,0.15625
early_0_500ms,head_yaw_proxy_z_peak_abs,7,4.514081489468839,3.900622222896742,0.6134592665720969,-1.7373765544892654,0.08516904291846292,0.22533610696363962,0.8291967269938008,12.0,0.8125
early_0_500ms,head_yaw_proxy_delta_auc_abs,7,0.009314483777369056,0.014100763594612585,-0.004786279817243529,-0.0027621140786551995,-0.32751410738354564,-0.8665208790021649,0.41950200353070777,9.0,0.46875
early_0_500ms,head_roll_deg_delta_mean,7,2.5948580358031976,-2.63923479076109,5.234092826564287,2.755648887441685,0.9397592597853859,2.486369293662274,0.047394660264480325,0.0,0.015625
early_0_500ms,head_roll_deg_z_peak_abs,7,3.611314953642475,3.6023551051079976,0.008959848534476908,-0.18223008272768038,0.0023896743179645744,0.006322483959772153,0.9951603939890656,13.0,0.9375
early_0_500ms,head_roll_deg_delta_auc_abs,7,1.271416610004547,1.7040445917044684,-0.43262798169992117,0.25090721421655915,-0.17822255438010906,-0.47153255691245377,0.6539183296541267,8.0,0.375
late_2_5s,au06_cheek_raise_proxy_delta_mean,7,-0.008247975503715416,-0.0031328536624057146,-0.005115121841309698,-0.008511086354112001,-0.19880878641191196,-0.5259986073004763,0.6177555227279099,9.0,0.46875
late_2_5s,au06_cheek_raise_proxy_z_peak_abs,7,9.514194364497644,13.27292807873992,-3.758733714242275,-2.472562635481931,-0.16550560422681562,-0.4378866693716346,0.6767923918583547,13.0,0.9375
late_2_5s,au06_cheek_raise_proxy_delta_auc_abs,7,0.09308604126100864,0.10183374479488852,-0.008747703533879884,-0.0082269431929572,-0.1413342376174574,-0.3739352444747023,0.7213102140138686,11.0,0.6875
late_2_5s,au12_lip_corner_pull_proxy_delta_mean,7,0.012792838092606415,-0.006878460937306014,0.01967129902991243,0.006018147704570801,0.36398235366126835,0.9630067894036761,0.37273356370959565,11.0,0.6875
